No,Code,Name,LastPrice,MarketCap
1,AALI,Astra Agro Lestari Tbk.,8000,15397506664000.0
2,ABBA,Mahaka Media Tbk.,142,558896785694.0
3,ABDA,Asuransi Bina Dana Arta Tbk.,6700,4159404756000.0
4,ABMM,ABM Investama Tbk.,3050,8397153250000.0
5,ACES,Ace Hardware Indonesia Tbk.,490,8403500000000.0
6,ACST,Acset Indonusa Tbk.,156,1977324960000.0
7,ADCP,Adhi Commuter Properti Tbk.,64,1422222220800.0
8,ADES,Akasha Wira International Tbk.,7125,4203014700000.0
9,ADHI,Adhi Karya (Persero) Tbk.,452,1609503917952.0
10,ADMF,Adira Dinamika Multi Finance T,8850,8850000000000.0
11,ADMG,Polychem Indonesia Tbk,150,583376933850.0
12,ADMR,Adaro Minerals Indonesia Tbk.,1560,63776437140000.0
13,ADRO,Adaro Energy Indonesia Tbk.,3140,100435920680000.0
14,AGAR,Asia Sejahtera Mina Tbk.,270,270000000000.0
15,AGII,Aneka Gas Industri Tbk.,1935,5933987100000.0
16,AGRO,Bank Raya Indonesia Tbk.,406,9143142164758.0
17,AGRS,Bank IBK Indonesia Tbk.,89,1555862692098.0
18,AHAP,Asuransi Harta Aman Pratama Tb,64,188160000000.0
19,AIMS,Akbar Indo Makmur Stimec Tbk,274,60280000000.0
20,AISA,FKS Food Sejahtera Tbk.,142,1322275600000.0
21,AKKU,Anugerah Kagum Karya Utama Tbk,50,322473181800.0
22,AKPI,Argha Karya Prima Industry Tbk,1150,704085200000.0
23,AKRA,AKR Corporindo Tbk.,1270,25493312742000.0
24,AKSI,Mineral Sumberdaya Mandiri Tbk,406,292320000000.0
25,ALDO,Alkindo Naratama Tbk.,800,1053484816000.0
26,ALKA,Alakasa Industrindo Tbk,600,304599033000.0
27,ALMI,Alumindo Light Metal Industry ,292,1114272000000.0
28,ALTO,Tri Banyan Tirta Tbk.,50,109593527900.0
29,AMAG,Asuransi Multi Artha Guna Tbk.,358,1790555800728.0
30,AMAN,Makmur Berkah Amanda Tbk.,710,2750185000000.0
31,AMAR,Bank Amar Indonesia Tbk.,224,3064739104000.0
32,AMFG,Asahimas Flat Glass Tbk.,5250,2278500000000.0
33,AMIN,Ateliers Mecaniques D Indonesi,171,184680000000.0
34,AMMS,Agung Menjangan Mas Tbk.,41,49200000000.0
35,AMOR,Ashmore Asset Management Indon,1320,2933333568000.0
36,AMRT,Sumber Alfaria Trijaya Tbk.,2800,116268604760000.0
37,ANDI,Andira Agro Tbk.,50,467500000000.0
38,ANJT,Austindo Nusantara Jaya Tbk.,645,2163442875000.0
39,ANTM,Aneka Tambang Tbk.,1985,47701067979125.0
40,APEX,Apexindo Pratama Duta Tbk.,252,704794859244.0
41,APIC,Pacific Strategic Financial Tb,1120,13178271106560.0
42,APII,Arita Prima Indonesia Tbk.,199,214076240000.0
43,APLI,Asiaplast Industries Tbk.,260,354294564000.0
44,APLN,Agung Podomoro Land Tbk.,143,3246003729397.0
45,ARCI,Archi Indonesia Tbk.,330,8195550000000.0
46,ARGO,Argo Pantes Tbk,1275,427835748750.0
47,ARII,Atlas Resources Tbk.,264,826584000000.0
48,ARKA,Arkha Jayanti Persada Tbk.,50,100000000000.0
49,ARKO,Arkora Hydro Tbk.,565,1654599675000.0
50,ARMY,Armidian Karyatama Tbk.,50,450312500000.0
51,ARNA,Arwana Citramulia Tbk.,1000,7341430976000.0
52,ARTA,Arthavest Tbk,2090,933549025750.0
53,ARTI,Ratu Prabu Energi Tbk,50,392000000000.0
54,ARTO,Bank Jago Tbk.,3060,41976123750000.0
55,ASBI,Asuransi Bintang Tbk.,498,173496463056.0
56,ASDM,Asuransi Dayin Mitra Tbk.,930,178560000000.0
57,ASGR,Astra Graphia Tbk.,930,1254365865000.0
58,ASHA,Cilacap Samudera Fishing Indus,71,355000000000.0
59,ASII,Astra International Tbk.,5450,220635364613000.0
60,ASJT,Asuransi Jasa Tania Tbk.,125,161111337000.0
61,ASLC,Autopedia Sukses Lestari Tbk.,111,1414845380580.0
62,ASMI,Asuransi Maximus Graha Persada,102,913754806920.0
63,ASPI,Andalan Sakti Primaindo Tbk.,90,61361534250.0
64,ASRI,Alam Sutera Realty Tbk.,153,3006360018864.0
65,ASRM,Asuransi Ramayana Tbk.,1625,494461240000.0
66,ASSA,Adi Sarana Armada Tbk.,730,2603023898260.0
67,ATAP,Trimitra Prawara Goldland Tbk.,76,95000000000.0
68,ATIC,Anabatic Technologies Tbk.,386,893729483030.0
69,AUTO,Astra Otoparts Tbk.,1400,6747626200000.0
70,AVIA,Avia Avian Tbk.,625,38720972250000.0
71,AXIO,Tera Data Indonusa Tbk.,236,1378269854000.0
72,AYLS,Agro Yasa Lestari Tbk.,86,73394398296.0
73,BABP,Bank MNC Internasional Tbk.,98,3044719249460.0
74,BACA,Bank Capital Indonesia Tbk.,130,910992139070.0
75,BAJA,Saranacentral Bajatama Tbk.,121,217800000000.0
76,BALI,Bali Towerindo Sentra Tbk.,790,3108328075000.0
77,BANK,Bank Aladin Syariah Tbk.,1325,17402962999850.0
78,BAPA,Bekasi Asri Pemula Tbk.,86,56913468720.0
79,BAPI,Bhakti Agung Propertindo Tbk.,50,279587649300.0
80,BATA,Sepatu Bata Tbk.,540,702000000000.0
81,BAUT,Mitra Angkasa Sejahtera Tbk.,50,240000000000.0
82,BAYU,Bayu Buana Tbk,990,349688572200.0
83,BBCA,Bank Central Asia Tbk.,8300,1012951085850000.0
84,BBHI,Allo Bank Indonesia Tbk.,1695,36464456821515.0
85,BBKP,Bank KB Bukopin Tbk.,114,7640266908240.0
86,BBLD,Buana Finance Tbk.,625,1028622533750.0
87,BBMD,Bank Mestika Dharma Tbk.,2070,8381821437000.0
88,BBNI,Bank Negara Indonesia (Persero,8900,164313312047700.0
89,BBRI,Bank Rakyat Indonesia (Persero,4620,693200561531940.0
90,BBRM,Pelayaran Nasional Bina Buana ,57,483330948696.0
91,BBSI,Bank Bisnis Internasional Tbk.,3040,9953502527520.0
92,BBSS,Bumi Benowo Sukses Sejahtera T,62,297600993240.0
93,BBTN,Bank Tabungan Negara (Persero),1340,14048694000000.0
94,BBYB,Bank Neo Commerce Tbk.,615,5736390986070.0
95,BCAP,MNC Kapital Indonesia Tbk.,74,3153794968598.0
96,BCIC,Bank JTrust Indonesia Tbk.,180,2519425132200.0
97,BCIP,Bumi Citra Permai Tbk.,71,101524002275.0
98,BDMN,Bank Danamon Indonesia Tbk.,2620,25350641433420.0
99,BEBS,Berkah Beton Sadaya Tbk.,770,6930000000000.0
100,BEEF,Estika Tata Tiara Tbk.,60,113058755700.0
